period,date,special_number,special_zodiac,special_color,special_wuxing
2024023,2024-01-23,20,羊,blue,水
2024030,2024-01-30,03,虎,blue,unknown
2024044,2024-02-13,02,牛,red,土
2024066,2024-03-06,42,蛇,blue,土
2024067,2024-03-07,34,雞,red,水
2024070,2024-03-10,06,蛇,green,火
2024072,2024-03-12,19,马,red,水
2024086,2024-03-26,11,狗,green,水
2024168,2024-06-16,14,牛,blue,木
2024210,2024-07-28,19,马,red,水
2024275,2024-10-01,41,龍,blue,土
2024280,2024-10-06,22,雞,green,金
2024286,2024-10-12,45,猴,red,unknown
2024291,2024-10-17,14,牛,blue,木
2024292,2024-10-18,44,羊,green,unknown
2024309,2024-11-04,09,猴,blue,土
2024316,2024-11-11,05,龍,green,火
2024334,2024-11-29,46,雞,red,unknown
2024357,2024-12-22,09,猴,blue,土
2024363,2024-12-28,04,兔,blue,unknown
2025028,2025-01-28,40,兔,red,unknown
2025058,2025-02-27,31,马,blue,火
2025059,2025-02-28,24,豬,red,火
2025087,2025-03-28,15,虎,blue,unknown
2025099,2025-04-09,20,羊,blue,水
2025101,2025-04-11,01,鼠,red,土
2025111,2025-04-21,45,猴,red,unknown
2025119,2025-04-29,38,牛,green,金
2025129,2025-05-09,40,兔,red,unknown
2025135,2025-05-15,37,鼠,blue,金
2025159,2025-06-08,31,马,blue,火
2025166,2025-06-15,41,龍,blue,土
2025181,2025-06-30,23,狗,red,火
2025239,2025-08-27,04,兔,blue,unknown
2025283,2025-10-10,45,猴,red,unknown
2025316,2025-11-12,24,豬,red,火
2025325,2025-11-21,04,兔,blue,unknown
2025330,2025-11-26,36,豬,blue,木
2025342,2025-12-08,04,兔,blue,unknown
2025354,2025-12-20,30,蛇,red,金
2025355,2025-12-21,08,羊,red,unknown
2026033,2026-02-02,41,龍,blue,土
2026034,2026-02-03,19,马,red,水
2026042,2026-02-11,16,兔,green,unknown
2026055,2026-02-24,14,牛,blue,木
2026072,2026-03-13,46,雞,red,unknown
2026085,2026-03-26,19,马,red,水
2026091,2026-04-01,37,鼠,blue,金
2026124,2026-05-04,39,虎,green,unknown
2026134,2026-05-14,37,鼠,blue,金
